"Lower" "Upper"
"SRR16644721" 2019.08493150685 2019.16164383562
"SRR16999433" 2019.8301369863 2019.91506849315
"SRR16999512" 2019.74794520548 2019.8301369863
"SRR16999449" 2019.8301369863 2019.91506849315
"SRR11904686" 2018.08767123288 2018.08767123288
"SRR11698334" 2019.08493150685 2019.16164383562
"SRR16999725" 2019.8301369863 2019.91506849315
"SRR11698659" 2019.58082191781 2019.66301369863
"SRR11699108" 2019.16164383562 2019.24657534247
"SRR9877723" 2018.58356164384 2018.58356164384
"SRR9877931" 2018.66575342466 2018.66575342466
"SRR9877935" 2018.66575342466 2018.66575342466
"SRR11698461" 2019.32876712329 2019.41369863014
"SRR11904932" 2018.75068493151 2018.75068493151
"SRR9985680" 2017 2018
"SRR16644155" 2019.49589041096 2019.58082191781
"SRR16644307" 2019.41369863014 2019.49589041096
"SRR16644596" 2019.24657534247 2019.32876712329
"SRR9877991" 2018.58356164384 2018.58356164384
"SRR11904574" 2018.66575342466 2018.66575342466
"SRR11904596" 2018.58356164384 2018.58356164384
"SRR11904918" 2018.83287671233 2018.83287671233
"SRR16644191" 2019.24657534247 2019.32876712329
"SRR11724730" 2019 2019.08493150685
"SRR11904935" 2018.75068493151 2018.75068493151
"SRR11904919" 2018.83287671233 2018.83287671233
"SRR11904576" 2018.16438356164 2018.16438356164
"SRR11904881" 2018.08767123288 2018.08767123288
"SRR11904578" 2018.66575342466 2018.66575342466
"SRR16644205" 2019.41369863014 2019.49589041096
"SRR11904952" 2018.33150684932 2018.33150684932
"SRR9985703" 2017 2018
"SRR12612888" 2019.91506849315 2019.99726027397
"SRR11903909" 2018.41643835616 2018.41643835616
"GCGS0200" 2009 2010
"GCGS0304" 2001 2002
"GCGS0244" 2006 2007
"GCGS0246" 2006 2007
"GCGS0256" 2003 2004
"GCGS0266" 2004 2005
"GCGS0556" 2005 2006
"GCGS0294" 2002 2003
"GCGS0600" 2004 2005
"GCGS0623" 2002 2003
"GCGS0465" 2011 2012
"GCGS1053" 2007 2008
"GCGS0445" 2005 2006
"SRR9985832" 2017 2018
"SRR11699035" 2019.08493150685 2019.16164383562
"SRR16643974" 2019.49589041096 2019.58082191781
"SRR9985872" 2017 2018
"GCGS0072" 2009 2010
"GCGS0431" 2012 2013
"SRR9985917" 2017 2018
"SRR5990362" 2015 2016
"SRR8071021" 2015 2016
"SRR16644025" 2019.74794520548 2019.8301369863
"SRR16999448" 2019.8301369863 2019.91506849315
"SRR8833380" 2018.24931506849 2018.24931506849
"SRR8071254" 2016 2017
"SRR11903962" 2018.41643835616 2018.41643835616
"SRR16999413" 2019.91506849315 2019.99726027397
"SRR11903979" 2018.33150684932 2018.33150684932
"SRR11904263" 2018.83287671233 2018.83287671233
"SRR11904152" 2018.91780821918 2018.91780821918
"GCGS0449" 2011 2012
"SRR9985964" 2017 2018
"SRR16644598" 2019.41369863014 2019.49589041096
"SRR16644416" 2019.66301369863 2019.74794520548
"SRR9877764" 2018.66575342466 2018.66575342466
"SRR11904781" 2018.91780821918 2018.91780821918
"SRR11698280" 2019 2019.08493150685
"SRR11698530" 2019.24657534247 2019.32876712329
"SRR16643971" 2019 2019.08493150685
"SRR16644661" 2019.49589041096 2019.58082191781
"SRR11903907" 2018.41643835616 2018.41643835616
"SRR11903973" 2018.33150684932 2018.33150684932
"SRR11904255" 2018.83287671233 2018.83287671233
"SRR11904256" 2018.83287671233 2018.83287671233
"SRR11904420" 2018.58356164384 2018.58356164384
"SRR16644589" 2019.24657534247 2019.32876712329
"SRR11904589" 2018.66575342466 2018.66575342466
"SRR11904674" 2018.24931506849 2018.24931506849
"SRR16644624" 2019.58082191781 2019.66301369863
"SRR16999348" 2019.74794520548 2019.8301369863
"SRR11904405" 2018.58356164384 2018.58356164384
"SRR11699110" 2019.16164383562 2019.24657534247
"SRR12611594" 2019.08493150685 2019.16164383562
"SRR16644285" 2019.49589041096 2019.58082191781
"SRR16999467" 2019.8301369863 2019.91506849315
"SRR16999621" 2019.66301369863 2019.74794520548
